"fid","item_grp_id","target"
1,1,50
2,1,10
3,1,4
4,1,6
5,1,23
6,2,3618
1,2,1920
7,2,388
8,2,775
9,2,3102
10,2,1357
11,2,5232
3,2,288
12,2,47
13,2,800
14,2,1481
15,3,7000
1,3,1000
16,3,240
5,3,40
15,4,12951
1,4,9679
16,4,230
17,4,500
2,4,2100
3,4,2475
12,4,105
13,4,800
18,4,2023
19,4,100
20,4,784
21,4,2439
14,4,3312
22,4,105
23,4,100
24,4,600
4,4,280
25,4,1569
5,4,648
15,5,2784
1,5,1949
2,5,354
12,5,18
13,5,731
18,5,328
26,5,260
19,5,100
20,5,127
21,5,396
27,5,581
14,5,538
22,5,12
28,5,309
23,5,100
24,5,200
4,5,199
25,5,255
29,5,100
5,5,139
15,6,1626
